date, value
2008/1/14,26468.1309
2008/1/15,25837.7793
2008/1/16,24450.8496
2008/1/17,25114.9805
2008/1/18,25201.8691
2008/1/21,23818.8594
2008/1/22,21757.6309
2008/1/23,24090.1699
2008/1/24,23539.2695
2008/1/25,25122.3691
2008/1/28,24053.6094
2008/1/29,24291.8008
2008/1/30,23653.6895
2008/1/31,23455.7402
2008/2/1,24123.5801
2008/2/4,25032.0801
2008/2/5,24808.6992
2008/2/6,23469.4609
2008/2/11,22616.1094
2008/2/12,22921.6699
2008/2/13,23169.5508
2008/2/14,24021.6797
2008/2/15,24148.4297
2008/2/18,23759.25
2008/2/19,24123.1699
2008/2/20,23590.5801
2008/2/21,23623
2008/2/22,23305.0391
2008/2/25,23269.1406
2008/2/26,23714.75
2008/2/27,24483.8398
2008/2/28,24591.6895
2008/2/29,24331.6699
2008/3/3,23584.9707
2008/3/4,23119.8691
2008/3/5,23114.3398
2008/3/6,23342.7305
2008/3/7,22501.3301
2008/3/10,22705.0508
2008/3/11,22995.3496
2008/3/12,23422.7598
2008/3/13,22301.6406
2008/3/14,22237.1094
2008/3/17,21084.6094
2008/3/18,21384.6094
2008/3/19,21866.9395
2008/3/20,21108.2207
2008/3/24,21108.2207
2008/3/25,22464.5195
2008/3/26,22617.0098
2008/3/27,22664.2207
2008/3/28,23285.9492
2008/3/31,22849.1992
2008/4/1,23137.4609
2008/4/2,23872.4297
2008/4/3,24264.6309
2008/4/4,24264.6309
2008/4/7,24578.7598
2008/4/8,24311.6895
2008/4/9,23984.5703
2008/4/10,24187.0996
2008/4/11,24667.7891
2008/4/14,23811.1992
2008/4/15,23901.3301
2008/4/16,23878.3496
2008/4/17,24258.9609
2008/4/18,24197.7793
2008/4/21,24721.6699
2008/4/22,24939.1504
2008/4/23,25289.2402
2008/4/24,25680.7793
2008/4/25,25516.7793
2008/4/28,25666.2891
2008/4/29,25914.1504
2008/4/30,25755.3496
2008/5/1,25755.3496
2008/5/2,26241.0195
2008/5/5,26183.9492
2008/5/6,26262.1309
2008/5/7,25610.2109
2008/5/8,25449.7891
2008/5/9,25063.1699
2008/5/12,25063.1699
2008/5/13,25552.7695
2008/5/14,25533.4805
2008/5/15,25513.7109
2008/5/16,25618.8594
2008/5/19,25742.2305
2008/5/20,25169.4609
2008/5/21,25460.2891
2008/5/22,25043.1191
2008/5/23,24714.0703
2008/5/26,24127.3106
2008/5/27,24282.0391
2008/5/28,24249.5098
2008/5/29,24383.9902
2008/5/30,24533.1191
2008/6/2,24831.3594
2008/6/3,24375.7598
2008/6/4,24123.25
2008/6/5,24255.2891
2008/6/6,24402.1797
2008/6/10,23375.5195
2008/6/11,23327.5996
2008/6/12,23023.8594
2008/6/13,22592.3008
2008/6/16,23029.6895
2008/6/17,23057.9902
2008/6/18,23325.8008
2008/6/19,22797.6094
2008/6/20,22745.5996
2008/6/23,22714.9609
2008/6/24,22456.0195
2008/6/25,22635.1602
2008/6/26,22455.6699
2008/6/27,22042.3496
2008/6/30,22102.0098
2008/7/2,21704.4492
2008/7/3,21242.7793
2008/7/4,21423.8203
2008/7/7,21913.0606
2008/7/8,21220.8106
2008/7/9,21805.8106
2008/7/10,21821.7793
2008/7/11,22184.5508
2008/7/14,22014.4609
2008/7/15,21174.7695
2008/7/16,21223.5
2008/7/17,21734.7207
2008/7/18,21874.1895
2008/7/21,22532.9004
2008/7/22,22527.4805
2008/7/23,23134.5508
2008/7/24,23087.7207
2008/7/25,22740.7109
2008/7/28,22687.2109
2008/7/29,22258
2008/7/30,22690.5996
2008/7/31,22731.0996
2008/8/1,22862.5996
2008/8/4,22514.9199
2008/8/5,21949.75
2008/8/7,22104.1992
2008/8/8,21885.2109
2008/8/11,21859.3398
2008/8/12,21640.8906
2008/8/13,21293.3203
2008/8/14,21392.7109
2008/8/15,21160.5801
2008/8/18,20930.6699
2008/8/19,20484.3691
2008/8/20,20931.2598
2008/8/21,20392.0606
2008/8/22,20392.0606
2008/8/25,21104.7891
2008/8/26,21056.6602
2008/8/27,21464.7207
2008/8/28,20972.2891
2008/8/29,21261.8906
2008/9/1,20906.3106
2008/9/2,21042.4609
2008/9/3,20585.0606
2008/9/4,20389.4805
2008/9/5,19933.2793
2008/9/8,20794.2695
2008/9/9,20491.1094
2008/9/10,19999.7793
2008/9/11,19388.7207
2008/9/12,19352.9004
2008/9/16,18300.6094
2008/9/17,17637.1895
2008/9/18,17632.4609
2008/9/19,19327.7305
2008/9/22,19632.1992
2008/9/23,18872.8496
2008/9/24,18961.9902
2008/9/25,18934.4297
2008/9/26,18682.0898
2008/9/29,17880.6797
2008/9/30,18016.2109
2008/10/2,18211.1094
2008/10/3,17682.4004
2008/10/6,16803.7598
2008/10/7,16803.7598
2008/10/8,15431.7305
2008/10/9,15943.2402
2008/10/10,14796.8701
2008/10/13,16312.1602
2008/10/14,16832.8809
2008/10/15,15998.2998
2008/10/16,15230.5195
2008/10/17,14554.21
2008/10/20,15323.0098
2008/10/21,15041.1699
2008/10/22,14266.5996
2008/10/23,13760.4902
2008/10/24,12618.3799
2008/10/27,11015.8398
2008/10/28,12596.29
2008/10/29,12702.0703
2008/10/30,14329.8496
2008/10/31,13968.6699
2008/11/3,14344.3701
2008/11/4,14384.3398
2008/11/5,14840.1602
2008/11/6,13790.04
2008/11/7,14243.4297
2008/11/10,14744.6299
2008/11/11,14040.9004
2008/11/12,13939.0898
2008/11/13,13221.3496
2008/11/14,13542.6602
2008/11/17,13529.5303
2008/11/18,12915.8897
2008/11/19,12815.7998
2008/11/20,12298.5596
2008/11/21,12659.2002
2008/11/24,12457.9404
2008/11/25,12878.5996
2008/11/26,13369.4502
2008/11/27,13552.0596
2008/11/28,13888.2402
2008/12/1,14108.8398
2008/12/2,13405.8496
2008/12/3,13588.6602
2008/12/4,13509.7803
2008/12/5,13846.0898
2008/12/8,15044.8701
2008/12/9,14753.2197
2008/12/10,15577.7402
2008/12/11,15613.9004
2008/12/12,14758.3897
2008/12/15,15046.9502
2008/12/16,15130.21
2008/12/17,15460.5195
2008/12/18,15497.8096
2008/12/19,15127.5098
2008/12/22,14622.3897
2008/12/23,14220.79
2008/12/24,14184.1397
2008/12/26,14184.1397
2008/12/29,14328.4805
2008/12/30,14235.5
2008/12/31,14387.4805
2009/1/2,15042.8096
2009/1/5,15563.3096
2009/1/6,15509.5098
2009/1/7,14987.46
2009/1/8,14415.9102
2009/1/9,14377.4404
2009/1/12,13971
2009/1/13,13668.0498
2009/1/14,13704.6104
2009/1/15,13242.96
2009/1/16,13255.5098
2009/1/19,13339.9902
2009/1/20,12959.7695
2009/1/21,12583.6299
2009/1/22,12657.9902
2009/1/23,12578.5996
2009/1/29,13154.4297
2009/1/30,13278.21
2009/2/2,12861.4902
2009/2/3,12776.8897
2009/2/4,13063.8897
2009/2/5,13178.9004
2009/2/6,13655.04
2009/2/9,13769.0596
2009/2/10,13880.6397
2009/2/11,13539.21
2009/2/12,13228.2998
2009/2/13,13554.6699
2009/2/16,13455.8799
2009/2/17,12945.4004
2009/2/18,13016
2009/2/19,13023.3604
2009/2/20,12699.1699
2009/2/23,13175.0996
2009/2/24,12798.5195
2009/2/25,13005.0801
2009/2/26,12894.9404
2009/2/27,12811.5703
2009/3/2,12317.46
2009/3/3,12033.8799
2009/3/4,12331.1504
2009/3/5,12211.2402
2009/3/6,11921.5195
2009/3/9,11344.5801
2009/3/10,11694.0498
2009/3/11,11930.6602
2009/3/12,12001.5303
2009/3/13,12525.7998
2009/3/16,12976.71
2009/3/17,12878.0898
2009/3/18,13117.1699
2009/3/19,13130.9199
2009/3/20,12833.5098
2009/3/23,13447.4199
2009/3/24,13910.3398
2009/3/25,13622.1104
2009/3/26,14108.9805
2009/3/27,14119.5
2009/3/30,13456.3301
2009/3/31,13576.0195
2009/4/1,13519.54
2009/4/2,14521.9697
2009/4/3,14545.6904
2009/4/6,14998.04
2009/4/7,14928.9697
2009/4/8,14474.8604
2009/4/9,14901.4102
2009/4/13,14901.4102
2009/4/14,15580.1602
2009/4/15,15669.6201
2009/4/16,15582.9902
2009/4/17,15601.2695
2009/4/20,15750.9102
2009/4/21,15285.8897
2009/4/22,14878.4502
2009/4/23,15214.46
2009/4/24,15258.8496
2009/4/27,14840.4199
2009/4/28,14555.1104
2009/4/29,14956.9502
2009/4/30,15520.9902
2009/5/1,15520.9902
2009/5/4,16381.0498
2009/5/5,16430.0801
2009/5/6,16834.5703
2009/5/7,17217.8906
2009/5/8,17389.8691
2009/5/11,17087.9492
2009/5/12,17153.6406
2009/5/13,17059.6191
2009/5/14,16541.6895
2009/5/15,16790.6992
2009/5/18,17022.9102
2009/5/19,17544.0293
2009/5/20,17475.8398
2009/5/21,17199.4902
2009/5/22,17062.5195
2009/5/25,17121.8203
2009/5/26,16991.5606
2009/5/27,17885.2695
2009/5/29,18171
2009/6/1,18888.5898
2009/6/2,18389.0801
2009/6/3,18576.4707
2009/6/4,18502.7695
2009/6/5,18679.5293
2009/6/8,18253.3906
2009/6/9,18058.4902
2009/6/10,18785.6602
2009/6/11,18791.0293
2009/6/12,18889.6797
2009/6/15,18498.9609
2009/6/16,18165.5
2009/6/17,18084.5996
2009/6/18,17776.6602
2009/6/19,17920.9297
2009/6/22,18059.5508
2009/6/23,17538.3691
2009/6/24,17892.1504
2009/6/25,18275.0293
2009/6/26,18600.2598
2009/6/29,18528.5098
2009/6/30,18378.7305
2009/7/2,18178.0508
2009/7/3,18203.4004
2009/7/6,17979.4102
2009/7/7,17862.2695
2009/7/8,17721.0703
2009/7/9,17790.5898
2009/7/10,17708.4199
2009/7/13,17254.6309
2009/7/14,17885.7305
2009/7/15,18258.6602
2009/7/16,18361.8691
2009/7/17,18805.6602
2009/7/20,19502.3691
2009/7/21,19501.7305
2009/7/22,19248.1699
2009/7/23,19817.6992
2009/7/24,19982.7891
2009/7/27,20251.6191
2009/7/28,20624.5391
2009/7/29,20135.5
2009/7/30,20234.0801
2009/7/31,20573.3301
2009/8/3,20807.2598
2009/8/4,20796.4297
2009/8/5,20494.7695
2009/8/6,20899.2402
2009/8/7,20375.3691
2009/8/10,20929.5195
2009/8/11,21074.2109
2009/8/12,20435.2402
2009/8/13,20861.3008
2009/8/14,20893.3301
2009/8/17,20137.6504
2009/8/18,20306.2695
2009/8/19,19954.2305
2009/8/20,20328.8594
2009/8/21,20199.0195
2009/8/24,20535.9395
2009/8/25,20435.2402
2009/8/26,20456.3203
2009/8/27,20242.75
2009/8/28,20098.6191
2009/8/31,19724.1895
2009/9/1,19872.3008
2009/9/2,19522
2009/9/3,19761.6797
2009/9/4,20318.6191
2009/9/7,20629.3106
2009/9/8,21069.8106
2009/9/9,20851.0391
2009/9/10,21069.5606
2009/9/11,21161.4199
2009/9/14,20932.1992
2009/9/15,20866.3691
2009/9/16,21402.9199
2009/9/17,21768.5098
2009/9/18,21623.4492
2009/9/21,21472.8496
2009/9/22,21701.1406
2009/9/23,21595.5195
2009/9/24,21050.7305
2009/9/25,21024.4004
2009/9/28,20588.4102
2009/9/29,21013.1699
2009/9/30,20955.25
2009/10/1,20955.25
2009/10/2,20375.4902
2009/10/5,20429.0703
2009/10/6,20811.5293
2009/10/7,21241.5898
2009/10/8,21492.9004
2009/10/9,21499.4395
2009/10/12,21299.3496
2009/10/13,21467.3594
2009/10/14,21886.4805
2009/10/15,21999.0801
2009/10/16,21929.9004
2009/10/19,22200.4609
2009/10/20,22384.9609
2009/10/21,22318.1094
2009/10/22,22210.5195
2009/10/23,22589.7305
2009/10/26,22589.7305
2009/10/27,22169.5898
2009/10/28,21761.5801
2009/10/29,21264.9902
2009/10/30,21752.8691
2009/11/2,21620.1895
2009/11/3,21240.0606
2009/11/4,21614.7695
2009/11/5,21479.0801
2009/11/6,21829.7207
2009/11/9,22207.5508
2009/11/10,22268.1602
2009/11/11,22627.2109
2009/11/12,22397.5703
2009/11/13,22553.6309
2009/11/16,22943.9805
2009/11/17,22914.1504
2009/11/18,22840.3301
2009/11/19,22643.1602
2009/11/20,22455.8398
2009/11/23,22771.3906
2009/11/24,22423.1406
2009/11/25,22611.8008
2009/11/26,22210.4102
2009/11/27,21134.5
2009/11/30,21821.5
2009/12/1,22113.1504
2009/12/2,22289.5703
2009/12/3,22553.8691
2009/12/4,22498.1504
2009/12/7,22324.9609
2009/12/8,22060.5195
2009/12/9,21741.7598
2009/12/10,21700.0391
2009/12/11,21902.1094
2009/12/14,22085.75
2009/12/15,21813.9199
2009/12/16,21611.7402
2009/12/17,21347.6309
2009/12/18,21175.8809
2009/12/21,20948.0996
2009/12/22,21092.0391
2009/12/23,21328.7402
2009/12/24,21517
2009/12/28,21480.2207
2009/12/29,21499.4395
2009/12/30,21496.6191
2009/12/31,21872.5
2010/1/4,21823.2793
2010/1/5,22279.5801
2010/1/6,22416.6699
2010/1/7,22269.4492
2010/1/8,22296.75
2010/1/11,22411.5195
2010/1/12,22326.6406
2010/1/13,21748.5996
2010/1/14,21716.9492
2010/1/15,21654.1602
2010/1/18,21460.0098
2010/1/19,21677.9805
2010/1/20,21286.1699
2010/1/21,20862.6699
2010/1/22,20726.1797
2010/1/25,20598.5508
2010/1/26,20109.3301
2010/1/27,20033.0703
2010/1/28,20356.3691
2010/1/29,20121.9902
2010/2/1,20243.75
2010/2/2,20272.1797
2010/2/3,20722.0801
2010/2/4,20341.6406
2010/2/5,19665.0801
