ACDATE	ETXEUR	GRXEUR	HKXHKD	NSXUSD	SPXUSD	US2000USD	US30USD	CORNUSD	NATGASUSD	SOYBNUSD	SUGARUSD	WHEATUSD	WTIUSD	XAGEUR	XAUEUR	XAUUSD	XAUXAG	XCUUSD	XPTUSD	XPDUSD	EURUSD
2015-01-02 00:00:00	3127.5	9792.0	23646.0	4248.13	2059.125	1215.8435	17879.4	3.8675	3.0585	10.232	0.13661	5.825	54.575	13.08645	981.865	1186.955	75.0365	2.84587	1212.028	796.845	1.2087
2015-01-04 00:00:00	3123.5	9738.25	23675.0	4204.25	2040.125	1193.1125	17734.5	3.9565	3.0715	10.054	0.13412	5.7525	52.235	13.19072	991.075	1184.095	75.131	2.82985	1201.394	794.234	1.1947
2015-01-06 00:00:00	3017.5	9517.75	23351.5	4105.5	1997.125	1163.104	17365.9	3.8745	2.9125	10.5335	0.14117	5.901	47.945	13.86317	1024.585	1216.555	73.9035	2.77982	1217.87	803.176	1.18724
2015-01-08 00:00:00	3106.5	9807.25	24101.0	4232.5	2054.125	1194.724	17868.0	3.8585	2.8995	10.474	0.14091	5.6365	49.325	13.88403	1024.545	1208.275	73.795	2.78792	1219.243	791.785	1.1792
2015-01-11 00:00:00	3043.5	9660.75	24023.5	4197.375	2033.625	1182.7045	17683.5	3.9375	2.9	10.485	0.14221	5.602	47.705	14.01936	1032.635	1225.705	73.66	2.77392	1232.56	802.306	1.18698
2015-01-13 00:00:00	3068.5	9779.5	24391.5	4160.63	2016.875	1181.1155	17590.8	3.7465	2.935	10.043	0.14194	5.4505	46.035	14.49548	1047.125	1233.155	72.239	2.62737	1243.607	816.83	1.17769
2015-01-15 00:00:00	3130.5	9973.5	24265.5	4066.88	1979.125	1145.5825	17247.0	3.7305	3.0255	9.909	0.14636	5.328	46.205	14.62856	1084.52	1262.08	74.136	2.57767	1259.834	768.51	1.16362
2015-01-18 00:00:00	3211.5	10252.0	24062.0	4127.875	2010.375	1172.9545	17454.85	3.7795	2.9805	9.909	0.14636	5.328	48.425	15.38846	1106.125	1278.845	71.89	2.6331	1264.14	756.166	1.15613
2015-01-20 00:00:00	3247.5	10276.5	23973.5	4168.38	2016.625	1169.1865	17473.7	3.8115	2.884	9.83	0.15243	5.344	46.765	15.51942	1119.305	1292.205	72.1265	2.60051	1278.553	776.455	1.15457
2015-01-22 00:00:00	3348.5	10500.75	24688.0	4262.625	2055.75	1190.686	17778.0	3.7725	2.8875	9.7655	0.15222	5.303	47.325	16.14252	1146.715	1301.09	71.027	2.59406	1281.58	774.039	1.13471
2015-01-25 00:00:00	3356.5	10583.5	24841.5	4233.625	2026.5	1177.0445	17479.7	3.7735	2.909	9.7165	0.14638	5.284	44.445	16.50677	1164.225	1297.075	70.5655	2.47862	1274.252	776.161	1.11427
2015-01-27 00:00:00	3399.5	10714.0	24612.5	4205.88	2034.875	1200.8915	17417.1	3.6765	2.892	9.731	0.14689	5.171	45.495	15.88917	1137.935	1293.565	71.6235	2.4752	1265.465	779.39	1.13681
2015-01-29 00:00:00	3389.5	10793.5	24752.5	4201.25	2017.875	1191.5125	17441.2	3.6225	2.7375	9.67	0.1442	5.0545	44.605	14.99476	1112.585	1260.97	74.196	2.46677	1226.82	775.488	1.13338
2015-01-31 00:00:00	3336.5	10652.5	24464.0	4141.0	1989.125	1165.0075	17145.0	3.6225	2.6975	9.586	0.14339	4.961	47.705	15.27924	1137.76	1283.69	74.4625	2.5148	1241.75	772.95	1.12882
2015-02-02 00:00:00	3386.5	10849.75	24503.0	4180.875	2014.625	1172.659	17312.1	3.8005	2.7045	9.5975	0.13868	4.921	50.385	15.18384	1124.265	1274.775	74.062	2.51895	1229.32	787.844	1.13387
2015-02-04 00:00:00	3368.5	10802.25	24992.5	4186.25	2022.25	1186.48	17537.8	3.8005	2.671	9.709	0.14112	5.091	48.625	15.37993	1124.565	1272.595	73.107	2.59787	1242.916	795.521	1.13168
2015-02-06 00:00:00	3404.5	10885.75	24843.5	4248.63	2054.875	1203.81	17814.6	3.8005	2.6695	9.8305	0.14157	5.2395	51.285	15.04135	1103.295	1265.485	73.325	2.60469	1249.855	791.529	1.14707
2015-02-08 00:00:00	3363.5	10769.75	24496.5	4213.38	2044.625	1202.4475	17750.6	3.8655	2.6555	9.739	0.14305	5.2535	52.715	14.81698	1094.365	1238.085	73.859	2.59427	1227.06	785.666	1.13139
2015-02-10 00:00:00	3387.5	10766.75	24542.0	4278.5	2062.375	1201.435	17824.2	3.8115	2.6965	9.7095	0.1441	5.1925	50.765	14.94182	1089.855	1233.625	72.9455	2.55572	1207.245	771.845	1.13187
2015-02-12 00:00:00	3434.5	10970.75	24509.5	4342.0	2082.5	1213.1455	17944.9	3.7905	2.811	9.828	0.14785	5.192	51.245	14.80246	1073.065	1223.695	72.489	2.6115	1200.432	775.705	1.14041
2015-02-15 00:00:00	3456.5	10958.0	24758.5	4371.38	2089.375	1220.644	17983.8	3.8395	2.831	9.828	0.14785	5.192	53.205	15.20694	1078.285	1229.075	70.909	2.61513	1210.397	791.528	1.13979
2015-02-17 00:00:00	3459.5	10913.25	24833.0	4384.88	2096.875	1224.4375	18032.6	3.8085	2.7835	10.067	0.14953	5.375	53.125	14.47177	1060.565	1209.435	73.2865	2.58813	1181.73	784.572	1.1404
2015-02-19 00:00:00	3475.5	10974.75	24842.0	4413.63	2095.125	1228.332	17977.8	3.8595	2.9615	10.06	0.14529	5.264	51.965	14.45559	1063.715	1209.08	73.585	2.62256	1172.223	786.762	1.13658
2015-02-22 00:00:00	3521.5	11126.25	24976.5	4441.63	2106.875	1229.168	18124.5	3.7685	2.982	10.004	0.14202	5.099	50.405	14.2762	1056.605	1202.495	73.985	2.61316	1165.251	781.029	1.138
2015-02-24 00:00:00	3550.5	11218.25	24844.5	4447.5	2113.375	1233.31	18202.6	3.7405	2.8855	10.1515	0.14121	5.0605	49.225	14.4826	1062.615	1205.015	73.3435	2.65484	1168.483	795.05	1.13394
2015-02-26 00:00:00	3565.5	11316.75	24773.0	4458.38	2107.75	1236.451	18200.6	3.8355	2.679	10.238	0.13834	5.0275	48.885	14.82343	1080.325	1210.245	72.882	2.72082	1176.882	812.742	1.12026
2015-02-28 00:00:00	3588.5	11383.0	24817.5	4446.625	2105.375	1234.901	18154.9	3.8355	2.703	10.3025	0.13765	5.1705	49.435	14.82067	1083.725	1213.36	73.114	2.71766	1188.25	818.35	1.11935
2015-03-02 00:00:00	3594.5	11417.5	24851.5	4478.5	2113.875	1239.681	18262.2	3.8115	2.646	10.125	0.13519	5.0415	49.805	14.70721	1080.105	1207.075	73.4655	2.71826	1186.963	827.828	1.11764
2015-03-04 00:00:00	3592.5	11419.75	24246.5	4442.25	2095.5	1229.612	18090.6	3.8015	2.7755	9.9345	0.13382	4.9875	51.665	14.64821	1085.215	1202.365	74.074	2.68824	1183.317	829.985	1.10793
2015-03-06 00:00:00	3619.5	11515.25	24154.5	4451.375	2099.625	1233.009	18128.8	3.8015	2.762	9.8445	0.13467	4.834	50.955	14.7202	1087.985	1200.245	73.9415	2.67612	1180.649	828.95	1.10316
2015-03-08 00:00:00	3601.5	11519.25	23926.5	4406.375	2070.25	1218.562	17858.5	3.7945	2.747	9.8565	0.13376	4.8655	49.585	14.63965	1078.925	1169.455	73.6745	2.61919	1157.363	822.079	1.08449
2015-03-10 00:00:00	3578.5	11537.5	23715.5	4335.125	2044.25	1210.673	17709.0	3.8175	2.7245	9.812	0.13009	4.9625	48.695	14.64266	1087.955	1162.605	74.243	2.63849	1131.291	805.046	1.07066
2015-03-12 00:00:00	3657.5	11854.25	23811.0	4334.75	2065.375	1239.373	17889.6	3.7985	2.692	9.8875	0.1311	5.0985	46.895	14.69314	1086.365	1153.925	73.921	2.68163	1119.543	793.073	1.06265
2015-03-15 00:00:00	3667.5	11943.25	23733.5	4304.875	2048.25	1230.203	17707.3	3.7135	2.695	9.7025	0.12784	5.0585	43.865	14.89162	1101.075	1156.125	74.1035	2.68553	1117.656	790.761	1.04839
2015-03-17 00:00:00	3680.5	12022.0	23927.5	4377.625	2074.625	1243.796	17860.2	3.7065	2.8405	9.532	0.12816	5.0425	42.535	14.68282	1085.015	1149.465	73.9165	2.64627	1095.596	761.966	1.05949
