Date,EURUSD,FRXEUR,NSXUSD,HKXHKD,GRXEUR
14/1/2008,2478.3,5403.5098,2478.3,26468.1309,7732.02
15/1/2008,2417.59,5250.8198,2417.59,25837.7793,7566.3799
16/1/2008,2394.59,5225.3901,2394.59,24450.8496,7471.5698
17/1/2008,2346.9,5157.0898,2346.9,25114.9805,7413.5298
18/1/2008,2340.02,5092.3999,2340.02,25201.8691,7314.1699
22/1/2008,2292.27,4842.54,2292.27,21757.6309,6769.4702
23/1/2008,2316.41,4636.7598,2316.41,24090.1699,6439.21
24/1/2008,2360.92,4915.29,2360.92,23539.2695,6821.0698
25/1/2008,2326.2,4878.1201,2326.2,25122.3691,6816.7402
28/1/2008,2349.91,4848.2998,2349.91,24053.6094,6818.8501
29/1/2008,2358.06,4941.4502,2358.06,24291.8008,6892.96
30/1/2008,2349,4873.5698,2349,23653.6895,6875.3501
31/1/2008,2389.86,4869.79,2389.86,23455.7402,6851.75
1/2/2008,2413.36,4978.0601,2413.36,24123.5801,6968.6699
4/2/2008,2382.85,4973.6401,2382.85,25032.0801,7000.4902
5/2/2008,2309.57,4776.8599,2309.57,24808.6992,6765.25
6/2/2008,2278.75,4816.4302,2278.75,23469.4609,6847.5098
7/2/2008,2293.03,4723.7998,2293.03,#N/A,6733.7202
8/2/2008,2304.85,4709.6499,2304.85,#N/A,6767.2798
11/2/2008,2320.06,4682.7002,2320.06,22616.1094,6743.54
12/2/2008,2320.04,4840.71,2320.04,22921.6699,6967.8398
13/2/2008,2373.93,4855.3999,2373.93,23169.5508,6973.6699
14/2/2008,2332.54,4858.6499,2332.54,24021.6797,6962.2798
15/2/2008,2321.8,4771.79,2321.8,24148.4297,6832.4302
19/2/2008,2306.2,4885.8301,2306.2,24123.1699,7002.29
20/2/2008,2327.1,4812.8101,2327.1,23590.5801,6899.6802
21/2/2008,2299.78,4858.8501,2299.78,23623,6904.8501
22/2/2008,2303.35,4824.5498,2303.35,23305.0391,6806.29
25/2/2008,2327.48,4919.2598,2327.48,23269.1406,6882.5601
26/2/2008,2344.99,4973.0698,2344.99,23714.75,6985.9702
27/2/2008,2353.78,4968.8198,2353.78,24483.8398,6997.8501
28/2/2008,2331.57,4865.23,2331.57,24591.6895,6862.52
29/2/2008,2271.48,4790.6602,2271.48,24331.6699,6748.1299
3/3/2008,2258.6,4742.6602,2258.6,23584.9707,6689.9502
4/3/2008,2260.28,4675.9102,2260.28,23119.8691,6545.04
5/3/2008,2272.81,4756.4199,2272.81,23114.3398,6683.71
6/3/2008,2220.5,4678.0498,2220.5,23342.7305,6591.3101
7/3/2008,2212.49,4618.96,2212.49,22501.3301,6513.9902
10/3/2008,2169.34,4566.9902,2169.34,22705.0508,6448.0801
11/3/2008,2255.76,4627.6899,2255.76,22995.3496,6524.5698
