date, value
2008/1/14,5403.5098
2008/1/15,5250.8198
2008/1/16,5225.3901
2008/1/17,5157.0898
2008/1/18,5092.3999
2008/1/21,4744.4502
2008/1/22,4842.54
2008/1/23,4636.7598
2008/1/24,4915.29
2008/1/25,4878.1201
2008/1/28,4848.2998
2008/1/29,4941.4502
2008/1/30,4873.5698
2008/1/31,4869.79
2008/2/1,4978.0601
2008/2/4,4973.6401
2008/2/5,4776.8599
2008/2/6,4816.4302
2008/2/7,4723.7998
2008/2/8,4709.6499
2008/2/11,4682.7002
2008/2/12,4840.71
2008/2/13,4855.3999
2008/2/14,4858.6499
2008/2/15,4771.79
2008/2/18,4861.7998
2008/2/19,4885.8301
2008/2/20,4812.8101
2008/2/21,4858.8501
2008/2/22,4824.5498
2008/2/25,4919.2598
2008/2/26,4973.0698
2008/2/27,4968.8198
2008/2/28,4865.23
2008/2/29,4790.6602
2008/3/3,4742.6602
2008/3/4,4675.9102
2008/3/5,4756.4199
2008/3/6,4678.0498
2008/3/7,4618.96
2008/3/10,4566.9902
2008/3/11,4627.6899
2008/3/12,4697.1001
2008/3/13,4630.1899
2008/3/14,4592.1499
2008/3/17,4431.04
2008/3/18,4582.5898
2008/3/19,4555.9502
2008/3/20,4533.7202
2008/3/25,4692
2008/3/26,4676.6802
2008/3/27,4719.5298
2008/3/28,4695.9199
2008/3/31,4707.0698
2008/4/1,4866
2008/4/2,4911.9702
2008/4/3,4887.8701
2008/4/4,4900.8799
2008/4/7,4944.6001
2008/4/8,4912.6899
2008/4/9,4874.9702
2008/4/10,4859.4199
2008/4/11,4797.9302
2008/4/14,4766.4902
2008/4/15,4780.6802
2008/4/16,4855.1001
2008/4/17,4862.1401
2008/4/18,4961.6899
2008/4/21,4910.3501
2008/4/22,4872.6401
2008/4/23,4944.6499
2008/4/24,4929.5498
2008/4/25,4978.21
2008/4/28,5012.75
2008/4/29,4977.1001
2008/4/30,4996.54
2008/5/2,5069.71
2008/5/5,5063.3599
2008/5/6,5040.9199
2008/5/7,5075.3101
2008/5/8,5055.5801
2008/5/9,4960.5601
2008/5/12,4976.21
2008/5/13,4998.6699
2008/5/14,5055.2402
2008/5/15,5057.5098
2008/5/16,5078.04
2008/5/19,5142.1001
2008/5/20,5054.8799
2008/5/21,5027.5498
2008/5/22,5028.7402
2008/5/23,4933.77
2008/5/26,4937.8398
2008/5/27,4906.5601
2008/5/28,4971.1099
2008/5/29,4975.8999
2008/5/30,5014.2798
2008/6/2,4935.21
2008/6/3,4983.71
2008/6/4,4915.0698
2008/6/5,4907.0601
2008/6/6,4795.3198
2008/6/9,4799.3799
2008/6/10,4761.0801
2008/6/11,4660.9102
2008/6/12,4672.2998
2008/6/13,4682.2998
2008/6/16,4657.7402
2008/6/17,4686.3301
2008/6/18,4618.75
2008/6/19,4591.3901
2008/6/20,4509.27
2008/6/23,4511.3701
2008/6/24,4473.7598
2008/6/25,4536.29
2008/6/26,4426.1899
2008/6/27,4397.3198
2008/6/30,4434.8501
2008/7/1,4341.21
2008/7/2,4296.48
2008/7/3,4343.9902
2008/7/4,4266
2008/7/7,4342.5898
2008/7/8,4275.6099
2008/7/9,4339.6602
2008/7/10,4231.5601
2008/7/11,4100.6401
2008/7/14,4142.5298
2008/7/15,4061.1499
2008/7/16,4112.4502
2008/7/17,4225.9902
2008/7/18,4299.3599
2008/7/21,4327.1401
2008/7/22,4327.2598
2008/7/23,4408.7402
2008/7/24,4347.9902
2008/7/25,4377.1802
2008/7/28,4324.4502
2008/7/29,4320.4902
2008/7/30,4400.5498
2008/7/31,4392.3599
2008/8/1,4314.3398
2008/8/4,4280.6299
2008/8/5,4386.3501
2008/8/6,4448.3301
2008/8/7,4457.4302
2008/8/8,4491.8501
2008/8/11,4538.4902
2008/8/12,4518.48
2008/8/13,4402.9702
2008/8/14,4420.9102
2008/8/15,4453.6201
2008/8/18,4448.8398
2008/8/19,4332.79
2008/8/20,4365.8701
2008/8/21,4304.6099
2008/8/22,4400.4502
2008/8/25,4355.8701
2008/8/26,4368.5498
2008/8/27,4373.0801
2008/8/28,4461.4902
2008/8/29,4482.6001
2008/9/1,4472.1299
2008/9/2,4539.0698
2008/9/3,4447.1299
2008/9/4,4304.0098
2008/9/5,4196.6602
2008/9/8,4340.1802
2008/9/9,4293.3398
2008/9/10,4283.6602
2008/9/11,4249.0698
2008/9/12,4332.6602
2008/9/15,4168.9702
2008/9/16,4087.3999
2008/9/17,4000.1101
2008/9/18,3957.8601
2008/9/19,4324.8701
2008/9/22,4223.5098
2008/9/23,4139.8198
2008/9/24,4114.54
2008/9/25,4226.8101
2008/9/26,4163.3799
2008/9/29,3953.48
2008/9/30,4032.1001
2008/10/1,4054.54
2008/10/2,3963.28
2008/10/3,4080.75
2008/10/6,3711.98
2008/10/7,3732.22
2008/10/8,3496.8899
2008/10/9,3442.7
2008/10/10,3176.49
2008/10/13,3531.5
2008/10/14,3628.52
2008/10/15,3381.0701
2008/10/16,3181
2008/10/17,3329.9199
2008/10/20,3448.51
2008/10/21,3475.3999
2008/10/22,3298.1799
2008/10/23,3310.8701
2008/10/24,3193.79
2008/10/27,3067.3501
2008/10/28,3114.9199
2008/10/29,3402.5701
2008/10/30,3407.8201
2008/10/31,3487.0701
2008/11/3,3527.97
2008/11/4,3691.0901
2008/11/5,3618.1101
2008/11/6,3387.25
2008/11/7,3469.1201
2008/11/10,3505.75
2008/11/11,3336.4099
2008/11/12,3233.96
2008/11/13,3269.46
2008/11/14,3291.47
2008/11/17,3182.03
2008/11/18,3217.3999
2008/11/19,3087.8899
2008/11/20,2980.4199
2008/11/21,2881.26
2008/11/24,3172.1101
2008/11/25,3209.5601
2008/11/26,3169.8501
2008/11/27,3250.3899
2008/11/28,3262.6799
2008/12/1,3080.4299
2008/12/2,3152.8999
2008/12/3,3166.6499
2008/12/4,3161.1599
2008/12/5,2988.01
2008/12/8,3247.48
2008/12/9,3297.8
2008/12/10,3320.3101
2008/12/11,3306.1299
2008/12/12,3213.6001
2008/12/15,3185.6599
2008/12/16,3251.6599
2008/12/17,3241.9199
2008/12/18,3234.1499
2008/12/19,3225.8999
2008/12/22,3151.3601
2008/12/23,3128.4099
2008/12/24,3116.21
2008/12/29,3130.72
2008/12/30,3217.1299
2008/12/31,3217.97
2009/1/2,3349.6899
2009/1/5,3359.9199
2009/1/6,3396.22
2009/1/7,3346.0901
2009/1/8,3324.3301
2009/1/9,3299.5
2009/1/12,3246.1201
2009/1/13,3197.8899
2009/1/14,3052
2009/1/15,2995.8799
2009/1/16,3016.75
2009/1/19,2989.6899
2009/1/20,2925.28
2009/1/21,2905.5701
2009/1/22,2869.6201
2009/1/23,2849.1399
2009/1/26,2955.3701
2009/1/27,2954.53
2009/1/28,3076.01
2009/1/29,3009.75
2009/1/30,2973.9199
2009/2/2,2930.05
2009/2/3,2982.3899
2009/2/4,3068.99
2009/2/5,3066.29
2009/2/6,3122.79
2009/2/9,3134.8701
2009/2/10,3020.75
2009/2/11,3027.72
2009/2/12,2964.3401
2009/2/13,2997.8601
2009/2/16,2962.22
2009/2/17,2875.23
2009/2/18,2874.0701
2009/2/19,2872.6001
2009/2/20,2750.55
2009/2/23,2727.8701
2009/2/24,2708.05
2009/2/25,2696.9199
2009/2/26,2744.8401
2009/2/27,2702.48
2009/3/2,2581.46
2009/3/3,2554.55
2009/3/4,2675.6799
2009/3/5,2569.6299
2009/3/6,2534.45
2009/3/9,2519.29
2009/3/10,2663.6799
2009/3/11,2674.2
2009/3/12,2694.25
2009/3/13,2705.6299
2009/3/16,2791.6599
2009/3/17,2767.28
2009/3/18,2760.3401
2009/3/19,2776.99
2009/3/20,2791.1399
2009/3/23,2869.5701
2009/3/24,2874.3899
2009/3/25,2893.45
2009/3/26,2892.0701
2009/3/27,2840.6201
2009/3/30,2719.3401
2009/3/31,2807.3401
2009/4/1,2839.6101
2009/4/2,2992.0601
2009/4/3,2958.74
2009/4/6,2929.75
2009/4/7,2902.3101
2009/4/8,2921.0601
2009/4/9,2974.1799
2009/4/14,3000.22
2009/4/15,2985.74
2009/4/16,3038.1799
2009/4/17,3091.96
2009/4/20,2969.3999
2009/4/21,2973.9399
2009/4/22,3025.24
2009/4/23,3008.6201
2009/4/24,3102.8501
2009/4/27,3102.4299
2009/4/28,3051.02
2009/4/29,3116.9399
2009/4/30,3159.8501
2009/5/4,3237.97
2009/5/5,3225
2009/5/6,3283.51
2009/5/7,3251.52
2009/5/8,3312.5901
2009/5/11,3248.6699
2009/5/12,3231.1001
2009/5/13,3152.8999
2009/5/14,3156.29
2009/5/15,3169.05
2009/5/18,3245.3899
2009/5/19,3274.96
2009/5/20,3303.3701
2009/5/21,3217.4099
2009/5/22,3227.97
2009/5/25,3236.1599
2009/5/26,3270.0901
2009/5/27,3294.8601
2009/5/28,3263.7
2009/5/29,3277.6499
2009/6/1,3379.49
2009/6/2,3378.04
2009/6/3,3309.6499
2009/6/4,3312.03
2009/6/5,3339.05
2009/6/8,3289.6599
2009/6/9,3296.73
2009/6/10,3315.27
2009/6/11,3334.9399
2009/6/12,3326.1399
2009/6/15,3219.5801
2009/6/16,3213.95
2009/6/17,3161.1399
2009/6/18,3194.0601
2009/6/19,3221.27
2009/6/22,3123.25
2009/6/23,3116.8201
2009/6/24,3184.76
2009/6/25,3163.1001
2009/6/26,3129.73
2009/6/29,3193.6799
2009/6/30,3140.4399
2009/7/1,3217
2009/7/2,3116.4099
2009/7/3,3119.51
2009/7/6,3082.1599
2009/7/7,3048.5701
2009/7/8,3009.71
2009/7/9,3025.9399
2009/7/10,2983.1001
2009/7/13,3052.0801
2009/7/14,3081.8701
2009/7/15,3171.27
2009/7/16,3199.6799
2009/7/17,3218.46
2009/7/20,3270.9399
2009/7/21,3302.8899
2009/7/22,3305.0701
2009/7/23,3373.72
2009/7/24,3366.45
2009/7/27,3372.3601
2009/7/28,3330.97
2009/7/29,3365.6201
2009/7/30,3435.49
2009/7/31,3426.27
2009/8/3,3477.8
2009/8/4,3476.3701
2009/8/5,3458.53
2009/8/6,3477.8301
2009/8/7,3521.1399
2009/8/10,3504.54
2009/8/11,3456.1799
2009/8/12,3507.24
2009/8/13,3524.3899
2009/8/14,3495.27
2009/8/17,3419.6899
2009/8/18,3450.6899
2009/8/19,3450.3401
2009/8/20,3505.3201
2009/8/21,3615.8101
2009/8/24,3652.1699
2009/8/25,3680.6101
2009/8/26,3668.3401
2009/8/27,3648.53
2009/8/28,3693.1399
2009/8/31,3653.54
