date, value
2008/1/14,7732.02
2008/1/15,7566.3799
2008/1/16,7471.5698
2008/1/17,7413.5298
2008/1/18,7314.1699
2008/1/21,6790.1899
2008/1/22,6769.4702
2008/1/23,6439.21
2008/1/24,6821.0698
2008/1/25,6816.7402
2008/1/28,6818.8501
2008/1/29,6892.96
2008/1/30,6875.3501
2008/1/31,6851.75
2008/2/1,6968.6699
2008/2/4,7000.4902
2008/2/5,6765.25
2008/2/6,6847.5098
2008/2/7,6733.7202
2008/2/8,6767.2798
2008/2/11,6743.54
2008/2/12,6967.8398
2008/2/13,6973.6699
2008/2/14,6962.2798
2008/2/15,6832.4302
2008/2/18,6967.5498
2008/2/19,7002.29
2008/2/20,6899.6802
2008/2/21,6904.8501
2008/2/22,6806.29
2008/2/25,6882.5601
2008/2/26,6985.9702
2008/2/27,6997.8501
2008/2/28,6862.52
2008/2/29,6748.1299
2008/3/3,6689.9502
2008/3/4,6545.04
2008/3/5,6683.71
2008/3/6,6591.3101
2008/3/7,6513.9902
2008/3/10,6448.0801
2008/3/11,6524.5698
2008/3/12,6599.3701
2008/3/13,6500.5601
2008/3/14,6451.8999
2008/3/17,6182.2998
2008/3/18,6393.3901
2008/3/19,6361.2202
2008/3/20,6319.9902
2008/3/25,6524.71
2008/3/26,6489.2598
2008/3/27,6578.0601
2008/3/28,6559.8999
2008/3/31,6534.9702
2008/4/1,6720.3301
2008/4/2,6777.4399
2008/4/3,6741.7202
2008/4/4,6763.3901
2008/4/7,6821.0298
2008/4/8,6771.98
2008/4/9,6721.3599
2008/4/10,6704.3198
2008/4/11,6603.5698
2008/4/14,6554.4902
2008/4/15,6585.0498
2008/4/16,6702.8398
2008/4/17,6681.8101
2008/4/18,6843.0801
2008/4/21,6786.5498
2008/4/22,6728.2998
2008/4/23,6795.0298
2008/4/24,6821.3198
2008/4/25,6896.5801
2008/4/28,6925.3301
2008/4/29,6885.3398
2008/4/30,6948.8198
2008/5/2,7043.23
2008/5/5,7052.0801
2008/5/6,7017.1001
2008/5/7,7076.25
2008/5/8,7071.8999
2008/5/9,7003.1699
2008/5/12,7035.9502
2008/5/13,7060.1899
2008/5/14,7083.2402
2008/5/15,7081.0498
2008/5/16,7156.5498
2008/5/19,7225.9399
2008/5/20,7118.5
2008/5/21,7040.8301
2008/5/22,7070.3301
2008/5/23,6944.0498
2008/5/26,6953.8398
2008/5/27,6958.6602
2008/5/28,7033.8398
2008/5/29,7055.0298
2008/5/30,7096.79
2008/6/2,7008.77
2008/6/3,7019.1299
2008/6/4,6965.4302
2008/6/5,6941.8301
2008/6/6,6803.8101
2008/6/9,6815.6299
2008/6/10,6771.1001
2008/6/11,6650.2598
2008/6/12,6714.52
2008/6/13,6765.3198
2008/6/16,6729.8799
2008/6/17,6796.1602
2008/6/18,6728.9102
2008/6/19,6721.1699
2008/6/20,6578.4399
2008/6/23,6589.46
2008/6/24,6536.0601
2008/6/25,6617.8398
