date, value
2008/1/14,2478.3
2008/1/15,2417.59
2008/1/16,2394.59
2008/1/17,2346.9
2008/1/18,2340.02
2008/1/22,2292.27
2008/1/23,2316.41
2008/1/24,2360.92
2008/1/25,2326.2
2008/1/28,2349.91
2008/1/29,2358.06
2008/1/30,2349
2008/1/31,2389.86
2008/2/1,2413.36
2008/2/4,2382.85
2008/2/5,2309.57
2008/2/6,2278.75
2008/2/7,2293.03
2008/2/8,2304.85
2008/2/11,2320.06
2008/2/12,2320.04
2008/2/13,2373.93
2008/2/14,2332.54
2008/2/15,2321.8
2008/2/19,2306.2
2008/2/20,2327.1
2008/2/21,2299.78
2008/2/22,2303.35
2008/2/25,2327.48
2008/2/26,2344.99
2008/2/27,2353.78
2008/2/28,2331.57
2008/2/29,2271.48
2008/3/3,2258.6
2008/3/4,2260.28
2008/3/5,2272.81
2008/3/6,2220.5
2008/3/7,2212.49
2008/3/10,2169.34
2008/3/11,2255.76
2008/3/12,2243.87
2008/3/13,2263.61
2008/3/14,2212.49
2008/3/17,2177.01
2008/3/18,2268.26
2008/3/19,2209.96
2008/3/20,2258.11
2008/3/24,2326.75
2008/3/25,2341.05
2008/3/26,2324.36
2008/3/27,2280.83
2008/3/28,2261.18
2008/3/31,2279.1
2008/4/1,2362.75
2008/4/2,2361.4
2008/4/3,2363.3
2008/4/4,2370.98
2008/4/7,2364.83
2008/4/8,2348.76
2008/4/9,2322.12
2008/4/10,2351.7
2008/4/11,2290.24
2008/4/14,2275.82
2008/4/15,2286.04
2008/4/16,2350.11
2008/4/17,2341.83
2008/4/18,2402.97
2008/4/21,2408.04
2008/4/22,2376.94
2008/4/23,2405.21
2008/4/24,2428.92
2008/4/25,2422.93
2008/4/28,2424.4
2008/4/29,2426.1
2008/4/30,2412.8
2008/5/1,2480.71
2008/5/2,2476.99
2008/5/5,2464.12
2008/5/6,2483.31
2008/5/7,2438.49
2008/5/8,2451.24
2008/5/9,2445.52
2008/5/12,2488.49
2008/5/13,2495.12
2008/5/14,2496.7
2008/5/15,2533.73
2008/5/16,2528.85
2008/5/19,2516.09
2008/5/20,2492.26
2008/5/21,2448.27
2008/5/22,2464.58
2008/5/23,2444.67
2008/5/27,2481.24
2008/5/28,2486.7
2008/5/29,2508.32
2008/5/30,2522.66
2008/6/2,2491.53
2008/6/3,2480.48
2008/6/4,2503.14
2008/6/5,2549.94
2008/6/6,2474.56
2008/6/9,2459.46
2008/6/10,2448.94
2008/6/11,2394.01
2008/6/12,2404.35
2008/6/13,2454.5
2008/6/16,2474.78
2008/6/17,2457.73
2008/6/18,2429.71
2008/6/19,2462.06
2008/6/20,2406.09
2008/6/23,2385.74
2008/6/24,2368.28
2008/6/25,2401.26
2008/6/26,2321.37
2008/6/27,2315.63
2008/6/30,2292.98
2008/7/1,2304.97
2008/7/2,2251.46
2008/7/3,2245.38
2008/7/7,2243.32
2008/7/8,2294.44
2008/7/9,2234.89
2008/7/10,2257.85
2008/7/11,2239.08
2008/7/14,2212.87
2008/7/15,2215.71
2008/7/16,2284.85
2008/7/17,2312.3
2008/7/18,2282.78
2008/7/21,2279.53
2008/7/22,2303.96
2008/7/23,2325.88
2008/7/24,2280.11
2008/7/25,2310.53
2008/7/28,2264.22
2008/7/29,2319.62
2008/7/30,2329.72
2008/7/31,2325.55
2008/8/1,2310.96
2008/8/4,2285.56
2008/8/5,2349.83
2008/8/6,2378.37
2008/8/7,2355.73
2008/8/8,2414.1
2008/8/11,2439.95
2008/8/12,2430.61
2008/8/13,2428.62
2008/8/14,2453.67
2008/8/15,2452.52
2008/8/18,2416.98
2008/8/19,2384.36
2008/8/20,2389.08
2008/8/21,2380.38
2008/8/22,2414.71
2008/8/25,2365.59
2008/8/26,2361.97
2008/8/27,2382.46
2008/8/28,2411.64
2008/8/29,2367.52
2008/9/2,2349.24
2008/9/3,2333.73
2008/9/4,2259.04
2008/9/5,2255.88
2008/9/8,2269.76
2008/9/9,2209.81
2008/9/10,2228.7
2008/9/11,2258.22
2008/9/12,2261.27
2008/9/15,2179.91
2008/9/16,2207.9
2008/9/17,2098.85
2008/9/18,2199.1
2008/9/19,2273.9
2008/9/22,2178.98
2008/9/23,2153.33
2008/9/24,2155.68
2008/9/25,2186.57
2008/9/26,2183.34
2008/9/29,1983.73
2008/9/30,2091.88
2008/10/1,2069.4
2008/10/2,1976.72
2008/10/3,1947.39
2008/10/6,1862.96
2008/10/7,1754.88
2008/10/8,1740.33
2008/10/9,1645.12
2008/10/10,1649.51
2008/10/13,1844.25
2008/10/14,1779.01
2008/10/15,1628.33
2008/10/16,1717.71
2008/10/17,1711.29
2008/10/20,1770.03
2008/10/21,1696.68
2008/10/22,1615.75
2008/10/23,1603.91
2008/10/24,1552.03
2008/10/27,1505.9
2008/10/28,1649.47
2008/10/29,1657.21
2008/10/30,1698.52
2008/10/31,1720.95
2008/11/3,1726.33
2008/11/4,1780.12
2008/11/5,1681.64
2008/11/6,1608.7
2008/11/7,1647.4
2008/11/10,1616.74
2008/11/11,1580.9
2008/11/12,1499.21
2008/11/13,1596.7
2008/11/14,1516.85
2008/11/17,1482.05
2008/11/18,1483.27
2008/11/19,1386.42
2008/11/20,1316.12
2008/11/21,1384.35
2008/11/24,1472.02
2008/11/25,1464.73
2008/11/26,1532.1
2008/11/28,1535.57
2008/12/1,1398.07
2008/12/2,1449.8
2008/12/3,1492.38
2008/12/4,1445.56
2008/12/5,1509.31
2008/12/8,1571.74
2008/12/9,1547.34
2008/12/10,1565.48
2008/12/11,1507.88
2008/12/12,1540.72
2008/12/15,1508.34
2008/12/16,1589.89
2008/12/17,1579.31
2008/12/18,1552.37
2008/12/19,1564.32
2008/12/22,1532.35
2008/12/23,1521.54
2008/12/24,1524.9
2008/12/26,1530.24
2008/12/29,1510.32
2008/12/30,1550.7
2008/12/31,1577.03
2009/1/2,1632.21
2009/1/5,1628.03
2009/1/6,1652.38
2009/1/7,1599.06
2009/1/8,1617.01
2009/1/9,1571.59
2009/1/12,1538.79
2009/1/13,1546.46
2009/1/14,1489.64
2009/1/15,1511.84
2009/1/16,1529.33
2009/1/20,1440.86
2009/1/21,1507.07
2009/1/22,1465.49
2009/1/23,1477.29
2009/1/26,1489.46
2009/1/27,1504.9
2009/1/28,1558.34
2009/1/29,1507.84
2009/1/30,1476.42
2009/2/2,1494.43
2009/2/3,1516.3
2009/2/4,1515.05
2009/2/5,1546.24
2009/2/6,1591.71
2009/2/9,1591.56
2009/2/10,1524.73
2009/2/11,1530.5
2009/2/12,1541.71
2009/2/13,1534.36
2009/2/17,1470.66
2009/2/18,1467.97
2009/2/19,1442.82
2009/2/20,1441.23
2009/2/23,1387.72
2009/2/24,1441.83
2009/2/25,1425.43
2009/2/26,1391.47
2009/2/27,1377.84
2009/3/2,1322.85
2009/3/3,1321.01
2009/3/4,1353.74
2009/3/5,1299.59
2009/3/6,1293.85
2009/3/9,1268.64
2009/3/10,1358.28
2009/3/11,1371.64
2009/3/12,1426.1
2009/3/13,1431.5
2009/3/16,1404.02
2009/3/17,1462.11
2009/3/18,1491.22
2009/3/19,1483.48
2009/3/20,1457.27
2009/3/23,1555.77
2009/3/24,1516.52
2009/3/25,1528.95
2009/3/26,1587
2009/3/27,1545.2
2009/3/30,1501.8
2009/3/31,1528.59
2009/4/1,1551.6
2009/4/2,1602.63
2009/4/3,1621.87
2009/4/6,1606.71
2009/4/7,1561.61
2009/4/8,1590.66
2009/4/9,1652.54
2009/4/13,1653.31
2009/4/14,1625.72
2009/4/15,1626.8
2009/4/16,1670.44
2009/4/17,1673.07
2009/4/20,1608.21
2009/4/21,1643.85
2009/4/22,1646.12
2009/4/23,1652.21
2009/4/24,1694.29
2009/4/27,1679.41
2009/4/28,1673.81
2009/4/29,1711.94
2009/4/30,1717.3
2009/5/1,1719.2
2009/5/4,1763.56
2009/5/5,1754.12
2009/5/6,1759.1
2009/5/7,1716.24
2009/5/8,1739
2009/5/11,1731.24
2009/5/12,1715.92
2009/5/13,1664.19
2009/5/14,1689.21
2009/5/15,1680.14
2009/5/18,1732.36
2009/5/19,1734.54
2009/5/20,1727.84
2009/5/21,1695.25
2009/5/22,1692.01
2009/5/26,1750.43
2009/5/27,1731.08
2009/5/28,1751.79
2009/5/29,1774.33
2009/6/1,1828.68
2009/6/2,1836.8
2009/6/3,1825.92
2009/6/4,1850.02
2009/6/5,1849.42
2009/6/8,1842.4
2009/6/9,1860.13
2009/6/10,1853.08
2009/6/11,1862.37
2009/6/12,1858.8
2009/6/15,1816.38
2009/6/16,1796.18
2009/6/17,1808.06
2009/6/18,1807.72
2009/6/19,1827.47
2009/6/22,1766.19
2009/6/23,1764.92
2009/6/24,1792.34
2009/6/25,1829.54
2009/6/26,1838.22
